Account	Flag	Check Number	Date	Payee	Category	Master Category	Sub Category	Memo	Outflow	Inflow	Cleared	Running Balance
Checking Main			7/6/2016	Starting Balance	Income:Available this month	Income	Available this month		$0.00 	"$1,733.82 "	R	"$1,733.82 "
Checking Main			7/9/2016	Joes Pizza	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	David	$0.00 	$13.85 	R	"$1,747.67 "
Checking Main			7/12/2016	Transfer : Capital One Quicksilver					$786.94 	$0.00 	R	$960.73 
Checking Main			7/21/2016	Transfer : Capital One Quicksilver					$205.49 	$0.00 	R	$755.24 
Checking Main			7/22/2016	Transfer : Capital One Quicksilver					$205.49 	$0.00 	R	$549.75 
Checking Main			7/23/2016	Amazon	Infrequent Purchases and Payments:One-Offs [25->150]	Hidden Categories	Infrequent Purchases and Payments ` One-Offs [25->150] ` 9970A765-F089-A4B4-D50E-14E37309C9CF	Prime membership	$51.94 	$0.00 	R	$497.81 
Checking Main			7/25/2016	Matt Berlin	Everday Wants:Spending Money	Everday Wants	Spending Money	Venmo prank	$0.01 	$0.00 	R	$497.80 
Checking Main			7/26/2016	Transfer : Staging Main					$0.00 	"$4,000.00 "	R	"$4,497.80 "
Checking Main			7/27/2016	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Click Pay Rent Auto Payment (For August)	"$3,895.00 "	$0.00 	R	$602.80 
Checking Main			7/29/2016	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Electirc	$55.75 	$0.00 	R	$547.05 
Checking Main			7/31/2016	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Pit	$0.00 	"$1,947.50 "	R	"$2,494.55 "
Checking Main			8/1/2016	Monthly Interest	Income:Available next month	Income	Available next month		$0.00 	$0.25 	R	"$2,494.80 "
Checking Main			8/3/2016	Transfer : Staging Main					$0.00 	"$4,000.00 "	R	"$6,494.80 "
Checking Main			8/3/2016	Matt Berlin	Everyday Needs:Utilities	Everyday Needs	Utilities	Last Comcast 	$13.47 	$0.00 	R	"$6,481.33 "
Checking Main			8/3/2016	Transfer : Capital One Quicksilver					"$1,510.26 "	$0.00 	R	"$4,971.07 "
Checking Main			8/4/2016	Capital One	Leverage:Mom & Dad Leverage Swap	Leverage	Mom & Dad Leverage Swap	Refund from closing the secured credit card	$0.00 	$49.00 	R	"$5,020.07 "
Checking Main			8/7/2016	Uber	Everday Wants:Spending Money	Everday Wants	Spending Money	Mom and dad 	$33.89 	$0.00 	R	"$4,986.18 "
Checking Main			8/7/2016	Transfer : Capital One Quicksilver					"$1,425.41 "	$0.00 	R	"$3,560.77 "
Checking Main			8/18/2016	Room Dividers NY	Everyday Needs:Rent	Everyday Needs	Rent	Wall pits half 	$0.00 	$734.91 	R	"$4,295.68 "
Checking Main			8/21/2016	Transfer : Staging Main					$0.00 	"$4,000.00 "	R	"$8,295.68 "
Checking Main			8/21/2016	Transfer : Capital One Quicksilver					"$2,093.04 "	$0.00 	R	"$6,202.64 "
Checking Main			8/24/2016	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Electric	$72.26 	$0.00 	R	"$6,130.38 "
Checking Main			8/27/2016	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Pit refund 	$0.00 	"$1,947.50 "	R	"$8,077.88 "
Checking Main			8/27/2016	Brother Jimmys	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Pit	$16.25 	$0.00 	R	"$8,061.63 "
Checking Main			8/27/2016	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Click Pay Rent Auto Payment (For August)	"$3,895.00 "	$0.00 	R	"$4,166.63 "
Checking Main			8/31/2016	Monthly Interest	Income:Available next month	Income	Available next month		$0.00 	$0.72 	R	"$4,167.35 "
Checking Main			9/9/2016	Uber	Everday Wants:Spending Money	Everday Wants	Spending Money	Haley	$6.30 	$0.00 	R	"$4,161.05 "
Checking Main			9/9/2016	Uber	Everday Wants:Spending Money	Everday Wants	Spending Money	Haley	$6.30 	$0.00 	R	"$4,154.75 "
Checking Main			9/9/2016	Uber	Everday Wants:Spending Money	Everday Wants	Spending Money	Bus to Ann Arbor	$7.34 	$0.00 	R	"$4,147.41 "
Checking Main			9/18/2016	Transfer : Staging Main					$0.00 	"$2,000.00 "	R	"$6,147.41 "
Checking Main			9/18/2016	Transfer : Capital One Quicksilver					"$1,197.90 "	$0.00 	R	"$4,949.51 "
Checking Main			9/22/2016	Transfer : Capital One Quicksilver					$42.91 	$0.00 	R	"$4,906.60 "
Checking Main			9/23/2016	Uber	Everday Wants:Spending Money	Everday Wants	Spending Money	Late for work 	$9.34 	$0.00 	R	"$4,897.26 "
Checking Main			9/23/2016	Uber	StopGap / Rainy Day Funds:StopGap Buffer [ALL->1000]	StopGap / Rainy Day Funds	StopGap Buffer [ALL->1000]	Late for plane	$103.40 	$0.00 	R	"$4,793.86 "
Checking Main			9/27/2016	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Click Pay Rent Auto Payment (For August)	"$3,895.00 "	$0.00 	R	$898.86 
Checking Main			9/29/2016	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Auto Payment	$71.48 	$0.00 	R	$827.38 
Checking Main			9/30/2016	Transfer : Staging Main					$0.00 	"$2,000.00 "	R	"$2,827.38 "
Checking Main			9/30/2016	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Click Pay Rent Auto Payment (For August) pit 	$0.00 	"$1,947.50 "	R	"$4,774.88 "
Checking Main			9/30/2016	Amazon	Everday Wants:Spending Money	Everday Wants	Spending Money	Pit detergent	$0.00 	$6.32 	R	"$4,781.20 "
Checking Main			9/30/2016	Monthly Interest	Income:Available next month	Income	Available next month		$0.00 	$0.59 	R	"$4,781.79 "
Checking Main			10/13/2016	Uber	Everday Wants:Spending Money	Everday Wants	Spending Money	To footcare	$14.49 	$0.00 	R	"$4,767.30 "
Checking Main			10/20/2016	Transfer : Capital One Quicksilver					"$1,136.31 "	$0.00 	R	"$3,630.99 "
Checking Main			10/22/2016	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Click Pay Rent Auto Payment () pit 	$0.00 	"$1,947.50 "	R	"$5,578.49 "
Checking Main			10/23/2016	Amazon	Everday Wants:Spending Money	Everday Wants	Spending Money	Pit payback for Toilet paper and paper towel	$0.00 	$20.98 	R	"$5,599.47 "
Checking Main			10/27/2016	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Click Pay Rent Auto Payment (For August)	"$3,895.00 "	$0.00 	R	"$1,704.47 "
Checking Main			10/28/2016	Uber	Everday Wants:Spending Money	Everday Wants	Spending Money	Fuckup	$5.00 	$0.00 	R	"$1,699.47 "
Checking Main			10/29/2016	Uber	Everday Wants:Spending Money	Everday Wants	Spending Money	Detroit 	$7.11 	$0.00 	R	"$1,692.36 "
Checking Main			10/29/2016	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Auto Payment	$55.88 	$0.00 	R	"$1,636.48 "
Checking Main			10/30/2016	Uber	Everday Wants:Spending Money	Everday Wants	Spending Money	Detroit 	$10.14 	$0.00 	R	"$1,626.34 "
Checking Main			10/30/2016	Transfer : Capital One Quicksilver					$41.10 	$0.00 	R	"$1,585.24 "
Checking Main			10/31/2016	Monthly Interest	Income:Available next month	Income	Available next month		$0.00 	$0.65 	R	"$1,585.89 "
Checking Main			11/6/2016	Mom	Income:Available this month	Income	Available this month	Stay in NY	$0.00 	$500.00 	R	"$2,085.89 "
Checking Main			11/6/2016	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Pit refund	$0.00 	$27.94 	R	"$2,113.83 "
Checking Main			11/12/2016	Transfer : Staging Main					$0.00 	"$4,000.00 "	R	"$6,113.83 "
Checking Main			11/12/2016	Transfer : Capital One Quicksilver					"$1,202.30 "	$0.00 	R	"$4,911.53 "
Checking Main			11/15/2016	BNP Paribas	Leverage:BNP Credit Card	Leverage	BNP Credit Card	Reimbursements	$0.00 	$317.04 	R	"$5,228.57 "
Checking Main			11/15/2016	BNP Paribas	Leverage:BNP Credit Card	Leverage	BNP Credit Card	Reimbursements	$0.00 	$103.50 	R	"$5,332.07 "
Checking Main			11/15/2016	BNP Paribas	Leverage:BNP Credit Card	Leverage	BNP Credit Card	Reimbursements	$0.00 	$97.93 	R	"$5,430.00 "
Checking Main			11/23/2016	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Click Pay Rent Auto Payment (For August)	$0.00 	"$1,947.50 "	R	"$7,377.50 "
Checking Main			11/25/2016	Transfer : Capital One Quicksilver					$147.51 	$0.00 	R	"$7,229.99 "
Checking Main			11/27/2016	TF Cornerstone	Everyday Needs:Rent	Everyday Needs	Rent	Click Pay Rent Auto Payment (For August)	"$3,895.00 "	$0.00 	R	"$3,334.99 "
Checking Main			11/29/2016	Con Edison	Everyday Needs:Utilities	Everyday Needs	Utilities	Auto Payment	$49.50 	$0.00 	R	"$3,285.49 "
Checking Main			11/30/2016	Monthly Interest	Income:Available next month	Income	Available next month		$0.00 	$0.56 	R	"$3,286.05 "
