"y","lag.1","lag.2","lag.3","lag.4","lag.5","lag.6","lag.7","lag.8","lag.9","lag.10","lag.11","lag.12","lag.13","lag.14","lag.15","lag.16","lag.17","lag.18","lag.19","lag.20","lag.21","lag.22","lag.23","lag.24","lag.25","lag.26","lag.27","lag.28","lag.29","lag.30"
0,0,0,0,0,0,0,0,4.18,0,0,9,0,0,0,0,0,0,0,0,0,0,8.99,0,0,0,13,0,0,0,33.95
0,0,0,0,0,0,0,0,0,4.18,0,0,9,0,0,0,0,0,0,0,0,0,0,8.99,0,0,0,13,0,0,0
0,0,0,0,0,0,0,0,0,0,4.18,0,0,9,0,0,0,0,0,0,0,0,0,0,8.99,0,0,0,13,0,0
0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,9,0,0,0,0,0,0,0,0,0,0,8.99,0,0,0,13,0
0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,9,0,0,0,0,0,0,0,0,0,0,8.99,0,0,0,13
25.42,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,9,0,0,0,0,0,0,0,0,0,0,8.99,0,0,0
0,25.42,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,9,0,0,0,0,0,0,0,0,0,0,8.99,0,0
0,0,25.42,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,9,0,0,0,0,0,0,0,0,0,0,8.99,0
0,0,0,25.42,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,9,0,0,0,0,0,0,0,0,0,0,8.99
0,0,0,0,25.42,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,9,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,25.42,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,9,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,25.42,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,9,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,25.42,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,9,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,25.42,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,9,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,25.42,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,9,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,25.42,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,9,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,25.42,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,9,0,0,0
