"Date","Outflow"
2016-08-08,69.12
2016-08-09,35.17
2016-08-10,35.17
2016-08-11,35.17
2016-08-12,35.17
2016-08-13,22.17
2016-08-14,47.59
2016-08-15,47.59
2016-08-16,47.59
2016-08-17,38.6
2016-08-18,38.6
2016-08-19,38.6
2016-08-20,38.6
2016-08-21,38.6
2016-08-22,38.6
2016-08-23,38.6
2016-08-24,38.6
2016-08-25,38.6
2016-08-26,38.6
2016-08-27,38.6
2016-08-28,45.85
2016-08-29,45.85
2016-08-30,45.85
2016-08-31,41.67
2016-09-01,41.67
2016-09-02,41.67
2016-09-03,41.67
2016-09-04,41.67
2016-09-05,41.67
2016-09-06,41.67
2016-09-07,41.67
2016-09-08,41.67
2016-09-09,53.17
2016-09-10,124.91
2016-09-11,150.31
2016-09-12,150.31
2016-09-13,129.67
2016-09-14,139.38
2016-09-15,139.38
2016-09-16,139.38
2016-09-17,139.38
2016-09-18,152.39
2016-09-19,152.39
2016-09-20,152.39
2016-09-21,165.13
2016-09-22,172.75
2016-09-23,172.75
2016-09-24,182.16
2016-09-25,182.16
2016-09-26,182.16
2016-09-27,165.91
2016-09-28,165.91
2016-09-29,172.98
2016-09-30,186.48
2016-10-01,197.82
2016-10-02,197.82
2016-10-03,197.82
2016-10-04,203.25
2016-10-05,203.25
2016-10-06,203.25
2016-10-07,214.5
2016-10-08,238.33
2016-10-09,226.83
2016-10-10,155.09
2016-10-11,145.18
2016-10-12,145.18
2016-10-13,140.4
2016-10-14,145.06
2016-10-15,145.06
2016-10-16,145.06
2016-10-17,145.06
2016-10-18,132.05
2016-10-19,139.12
2016-10-20,139.12
2016-10-21,142.48
2016-10-22,134.86
2016-10-23,134.86
2016-10-24,125.45
2016-10-25,125.45
2016-10-26,125.45
2016-10-27,125.45
2016-10-28,138.46
2016-10-29,131.39
2016-10-30,229.93
2016-10-31,269.11
2016-11-01,279.12
2016-11-02,288.12
2016-11-03,282.69
2016-11-04,300.18
2016-11-05,300.18
2016-11-06,288.93
2016-11-07,265.1
