"begin","end","interval_length","true_value","expected","error"
1,45,45,172.75,-81.8398482653723,-254.589848265372
16,45,30,172.75,49.1892143244856,-123.560785675514
31,45,15,172.75,21.9781412246988,-150.771858775301
1,50,50,165.91,-1.36793694639445,-167.277936946394
16,50,35,165.91,85.7574047370043,-80.1525952629957
31,50,20,165.91,34.4029949277599,-131.50700507224
46,50,5,165.91,1912.13261027756,1746.22261027756
1,55,55,197.82,-13.5779222743119,-211.397922274312
16,55,40,197.82,59.7974234425064,-138.022576557494
31,55,25,197.82,74.0409889504713,-123.779011049529
46,55,10,197.82,97.3514890664035,-100.468510933597
1,60,60,214.5,-33.6893841424505,-248.18938414245
16,60,45,214.5,48.7182363572755,-165.781763642725
31,60,30,214.5,27.5114469455022,-186.988553054498
46,60,15,214.5,16.2720247170072,-198.227975282993
1,65,65,145.18,167.742507259544,22.5625072595436
16,65,50,145.18,276.543214013028,131.363214013028
31,65,35,145.18,245.629798903331,100.449798903331
46,65,20,145.18,437.623717480803,292.443717480803
61,65,5,145.18,1540.88773962355,1395.70773962355
1,70,70,145.06,171.268927539014,26.2089275390138
16,70,55,145.06,236.329046224808,91.2690462248085
31,70,40,145.06,232.574922742197,87.5149227421965
46,70,25,145.06,279.281041304296,134.221041304296
61,70,10,145.06,578.461772639109,433.401772639109
1,75,75,134.86,207.775874285196,72.9158742851963
16,75,60,134.86,294.800899203451,159.940899203451
31,75,45,134.86,369.879960972602,235.019960972602
46,75,30,134.86,474.423938767229,339.563938767229
61,75,15,134.86,256.821929106672,121.961929106672
1,80,80,125.45,159.840898894002,34.3908988940018
16,80,65,125.45,261.224502890854,135.774502890854
31,80,50,125.45,188.544630197447,63.0946301974467
46,80,35,125.45,180.782579609652,55.3325796096518
61,80,20,125.45,-680.251174678098,-805.701174678098
76,80,5,125.45,62.6353125,-62.8146875
1,85,85,279.12,157.421869449521,-121.698130550479
16,85,70,279.12,232.918676190594,-46.2013238094061
31,85,55,279.12,166.298516403444,-112.821483596556
46,85,40,279.12,198.473658041487,-80.6463419585131
61,85,25,279.12,115.375295509103,-163.744704490897
76,85,10,279.12,274.946424258823,-4.17357574117676
1,90,90,288.93,182.886373204148,-106.043626795852
16,90,75,288.93,247.827382285513,-41.1026177144874
31,90,60,288.93,251.073868407206,-37.856131592794
46,90,45,288.93,259.637033198865,-29.2929668011349
61,90,30,288.93,28.1832739856112,-260.746726014389
76,90,15,288.93,541.474956705278,252.544956705278
1,95,95,262.91,190.709048347666,-72.2009516523345
16,95,80,262.91,253.204111550808,-9.70588844919229
31,95,65,262.91,189.946879105096,-72.963120894904
46,95,50,262.91,210.484402638571,-52.4255973614293
61,95,35,262.91,-71.0032878258486,-333.913287825849
76,95,20,262.91,288.295468584546,25.3854685845461
91,95,5,262.91,-2886.74167140844,-3149.65167140844
1,100,100,270.71,171.044086327217,-99.6659136727829
16,100,85,270.71,179.432404424517,-91.2775955754832
31,100,70,270.71,164.148296737551,-106.561703262449
46,100,55,270.71,174.931153609311,-95.7788463906893
61,100,40,270.71,13.6548818548319,-257.055118145168
76,100,25,270.71,201.218123499305,-69.4918765006955
91,100,10,270.71,-1508.15558285522,-1778.86558285522
1,105,105,254.2,170.345794790771,-83.8542052092287
16,105,90,254.2,185.833209065857,-68.3667909341434
31,105,75,254.2,173.482729788138,-80.7172702118617
46,105,60,254.2,169.914608933909,-84.2853910660912
61,105,45,254.2,19.360991692595,-234.839008307405
76,105,30,254.2,173.608528711384,-80.5914712886157
91,105,15,254.2,-866.456131399259,-1120.65613139926
1,110,110,256.21,165.590785471462,-90.6192145285383
16,110,95,256.21,166.324410271157,-89.8855897288428
31,110,80,256.21,171.259046523421,-84.9509534765788
46,110,65,256.21,166.855686620228,-89.3543133797725
61,110,50,256.21,-39.6850943898952,-295.895094389895
76,110,35,256.21,153.025322578319,-103.184677421681
91,110,20,256.21,-201.682988233829,-457.892988233829
106,110,5,256.21,0,-256.21
1,115,115,104.05,327.366764440839,223.316764440839
16,115,100,104.05,362.741678358036,258.691678358036
31,115,85,104.05,402.266739546897,298.216739546897
46,115,70,104.05,449.385414478967,345.335414478967
61,115,55,104.05,511.358718885278,407.308718885278
76,115,40,104.05,600.552146159976,496.502146159976
91,115,25,104.05,320.789393933696,216.739393933696
106,115,10,104.05,2119.87663159377,2015.82663159377
1,120,120,130.89,315.602671976998,184.712671976998
16,120,105,130.89,361.761630807208,230.871630807208
31,120,90,130.89,357.189017426905,226.299017426905
46,120,75,130.89,314.018496141195,183.128496141195
61,120,60,130.89,280.410310870682,149.520310870682
76,120,45,130.89,342.294244382945,211.404244382945
91,120,30,130.89,444.286417789984,313.396417789984
106,120,15,130.89,747.100564784424,616.210564784424
1,125,125,198.34,297.220865647969,98.880865647969
16,125,110,198.34,358.391280371011,160.051280371011
31,125,95,198.34,340.738724253034,142.398724253034
46,125,80,198.34,288.253057275001,89.913057275001
61,125,65,198.34,284.069300071149,85.7293000711493
76,125,50,198.34,307.823878621437,109.483878621437
91,125,35,198.34,429.023166140317,230.683166140317
106,125,20,198.34,512.431163226264,314.091163226264
121,125,5,198.34,169.311698757092,-29.0283012429077
1,130,130,176.17,284.114550512341,107.944550512341
16,130,115,176.17,333.061042934266,156.891042934266
31,130,100,176.17,345.837889505491,169.667889505491
46,130,85,176.17,361.97450121776,185.80450121776
61,130,70,176.17,230.413201641389,54.2432016413889
76,130,55,176.17,416.480386460113,240.310386460113
91,130,40,176.17,-24.2797451067081,-200.449745106708
106,130,25,176.17,560.734177240651,384.564177240651
121,130,10,176.17,633.537496645005,457.367496645005
1,135,135,169.51,241.844104401239,72.334104401239
16,135,120,169.51,270.760235108569,101.250235108569
31,135,105,169.51,221.992352435534,52.4823524355336
46,135,90,169.51,233.994286240072,64.4842862400719
61,135,75,169.51,231.129397678064,61.6193976780644
76,135,60,169.51,248.355535680489,78.8455356804889
91,135,45,169.51,19.5091520219491,-150.000847978051
106,135,30,169.51,222.616716053282,53.106716053282
121,135,15,169.51,132.162634814798,-37.3473651852024
1,140,140,202.97,219.335025370572,16.3650253705725
16,140,125,202.97,216.370067904983,13.4000679049828
31,140,110,202.97,213.080635618763,10.1106356187633
46,140,95,202.97,212.338456920936,9.36845692093632
61,140,80,202.97,188.32021731262,-14.6497826873802
76,140,65,202.97,229.407266267823,26.4372662678226
91,140,50,202.97,-77.5169596113128,-280.486959611313
106,140,35,202.97,153.544011491618,-49.4259885083823
121,140,20,202.97,23.9298947556061,-179.040105244394
136,140,5,202.97,25.5877078572749,-177.382292142725
1,145,145,253.66,242.405717599782,-11.2542824002181
16,145,130,253.66,271.401065043978,17.7410650439777
31,145,115,253.66,243.923314691971,-9.73668530802931
46,145,100,253.66,226.877050207594,-26.7829497924057
61,145,85,253.66,134.645940730194,-119.014059269806
76,145,70,253.66,224.856157805617,-28.8038421943831
91,145,55,253.66,148.665708968184,-104.994291031816
106,145,40,253.66,60.1437250228578,-193.516274977142
121,145,25,253.66,1394.35,1140.69
136,145,10,253.66,1503.89047324428,1250.23047324428
1,150,150,448.02,247.202032613129,-200.817967386871
16,150,135,448.02,234.094380931086,-213.925619068914
31,150,120,448.02,215.692779153214,-232.327220846786
46,150,105,448.02,222.06004455647,-225.95995544353
61,150,90,448.02,209.426206834486,-238.593793165514
76,150,75,448.02,239.488717240723,-208.531282759277
91,150,60,448.02,132.753041175555,-315.266958824445
106,150,45,448.02,229.919936087923,-218.100063912077
121,150,30,448.02,237.82033867592,-210.19966132408
136,150,15,448.02,462.644222338399,14.6242223383989
1,155,155,371.52,290.09544987947,-81.4245501205301
16,155,140,371.52,314.627031831418,-56.8929681685815
