"begin","end","interval_length","true_value","expected","error","upper","lower"
1,45,45,142.48,205.025554562025,62.5455545620254,99.3224586571571,29.1428139019791
16,45,30,142.48,290.977174549203,148.497174549203,178.23713246536,118.330168328063
31,45,15,142.48,345.70792259148,203.22792259148,229.324208228539,178.498934317457
1,50,50,125.45,274.523445308377,149.073445308377,181.083847566465,116.332539025596
16,50,35,125.45,334.583279420236,209.133279420236,234.291041374716,184.495808366824
31,50,20,125.45,376.758390366498,251.308390366498,275.573365806038,227.390945275504
46,50,5,125.45,239.436703889945,113.986703889945,202.722055124584,16.8824220767884
1,55,55,269.11,314.706662325745,45.5966623257451,78.4301959899726,15.3256166839637
16,55,40,269.11,353.510295931617,84.4002959316169,111.829956960621,56.9534956145199
31,55,25,269.11,366.084263329887,96.9742633298865,119.188832474816,72.5730330969535
46,55,10,269.11,226.751715709472,-42.358284290528,-31.7284150981037,-52.6132451908691
1,60,60,300.18,326.394381719168,26.2143817191681,55.8822256799957,-1.37032103544078
16,60,45,300.18,362.72289052065,62.5428905206499,89.801741752287,38.4795062050619
31,60,30,300.18,358.270330017503,58.0903300175029,81.2891060217182,35.0565599442899
46,60,15,300.18,356.942423588386,56.7624235883863,119.138860248008,-1.6661421706446
1,65,65,262.91,325.030058562358,62.1200585623581,94.0814272609272,27.7532247383166
16,65,50,262.91,346.011382074336,83.101382074336,116.051100639335,47.9023571938486
31,65,35,262.91,312.626456716898,49.7164567168984,81.2610147862006,13.7364180223105
46,65,20,262.91,249.003297193662,-13.9067028063378,6.7520326994624,-34.9688587979209
61,65,5,262.91,-343.837847516763,-606.747847516763,-573.36263728925,-633.982778915765
1,70,70,261.71,287.080693273948,25.3706932739481,67.6167094980179,-17.002923353463
16,70,55,261.71,306.327340164509,44.6173401645091,87.4571733986651,-2.86316294744421
31,70,40,261.71,257.652817232847,-4.05718276715345,39.0857000645497,-43.1878207709512
46,70,25,261.71,126.008622303819,-135.701377696181,-103.343340229074,-166.011841669257
61,70,10,261.71,-131.01884352204,-392.72884352204,-361.432716265225,-422.855760140766
1,75,75,254.2,283.881275273888,29.6812752738881,73.4529038728796,-12.1035104417771
16,75,60,254.2,301.225326164563,47.0253261645634,96.4779634186989,-2.09745622851733
31,75,45,254.2,207.886022257147,-46.3139777428526,-8.2946495486037,-85.8600467035297
46,75,30,254.2,113.741818776486,-140.458181223514,-111.352722631675,-168.863404427918
61,75,15,254.2,-21.6739841875606,-275.873984187561,-252.693246287928,-299.762876135034
1,80,80,256.21,239.155971132769,-17.0540288672313,26.5964569318699,-62.6550794290424
16,80,65,256.21,248.109245115455,-8.10075488454552,45.7546384961048,-56.9431131490121
31,80,50,256.21,138.47986258681,-117.73013741319,-77.4486199156152,-160.564979070541
46,80,35,256.21,74.5906318259102,-181.61936817409,-154.981760617637,-207.433550071555
61,80,20,256.21,4.78430286647349,-251.425697133527,-229.221403362598,-273.645304066136
76,80,5,256.21,61.8794731857932,-194.330526814207,-125.711779256097,-270.509246968729
1,85,85,85.82,228.370628329337,142.550628329337,192.94251142251,91.0395082090837
16,85,70,85.82,197.446707483723,111.626707483723,160.028425673743,60.6016546247688
31,85,55,85.82,147.688683716395,61.8686837163954,102.789275711618,20.5597682683881
46,85,40,85.82,98.3745625766645,12.5545625766646,56.7124292422515,-29.4538853646514
61,85,25,85.82,132.374172328513,46.5541723285129,94.6442786682311,-0.290421278396394
76,85,10,85.82,586.492568186259,500.672568186259,548.406738719359,453.671877773538
1,90,90,130.89,308.679958531053,177.789958531053,231.76269721034,123.03020861835
16,90,75,130.89,300.69978570628,169.80978570628,227.13213803283,113.472264363978
31,90,60,130.89,272.494332884138,141.604332884138,200.459779910437,85.4103688396631
46,90,45,130.89,235.82233788748,104.93233788748,176.094216638058,37.9789464721741
61,90,30,130.89,280.437924143344,149.547924143344,223.129353980892,72.7157873773447
76,90,15,130.89,850.05504799582,719.16504799582,755.456480514724,676.511791918593
1,95,95,132.73,319.612683327175,186.882683327175,239.341559904508,132.811066447251
16,95,80,132.73,333.953965833299,201.223965833299,258.829571499464,143.589361867686
31,95,65,132.73,304.490797273773,171.760797273773,236.25609174859,105.919073122528
46,95,50,132.73,283.429839024466,150.699839024466,213.867099114906,84.3731740191256
61,95,35,132.73,349.120423104755,216.390423104755,286.47835534014,143.69514581744
76,95,20,132.73,575.645296933708,442.915296933708,502.859703848095,392.174480139002
91,95,5,132.73,142.421390308542,9.69139030854211,20.0611562618408,-1.4155795566775
1,100,100,185.17,331.224310813589,146.054310813589,199.462600504114,94.4493317447451
16,100,85,185.17,339.513500510333,154.343500510333,209.795332928869,102.33057317768
31,100,70,185.17,305.228988382933,120.058988382933,180.524285689725,59.5158306875666
46,100,55,185.17,294.704261865172,109.534261865172,172.645220551828,46.6181003079456
61,100,40,185.17,355.774137843956,170.604137843956,235.419518087231,106.545116743636
76,100,25,185.17,480.634895983014,295.464895983014,347.293167298207,243.275637105842
91,100,10,185.17,205.489278333872,20.3192783338719,29.9144159771068,11.3454082451718
1,105,105,169.51,342.75067147307,173.24067147307,230.937417820798,118.21042342673
16,105,90,169.51,346.420193873844,176.910193873844,229.443510727158,123.716803393362
31,105,75,169.51,324.418278250425,154.908278250425,209.526647393467,99.1975693859382
46,105,60,169.51,308.03952931552,138.52952931552,202.504949900728,80.5121053029052
61,105,45,169.51,372.042600958257,202.532600958257,260.51697470982,145.598719429403
76,105,30,169.51,447.397373918433,277.887373918433,336.11884945356,223.110555588591
91,105,15,169.51,220.741153333506,51.2311533335058,66.1960275895627,35.0646132489491
1,110,110,202.97,360.508383646749,157.538383646749,208.906928147543,108.169288585417
16,110,95,202.97,364.123509549813,161.153509549813,216.305540294221,108.470645167852
31,110,80,202.97,347.513071318395,144.543071318395,202.996727110392,85.8392132874543
46,110,65,202.97,331.172478814853,128.202478814853,187.526482188111,73.4718788338768
