"model","begin","end","interval_length","true_value","expected","error"
"ARIMA",1,45,45,172.75,59.0875312394225,-113.662468760578
"ARIMA",1,50,50,165.91,56.0242654919658,-109.885734508034
"ARIMA",16,50,35,165.91,36.6246784948868,-129.285321505113
"ARIMA",1,55,55,197.82,50.3487203072126,-147.471279692787
"ARIMA",16,55,40,197.82,43.5482589675943,-154.271741032406
"ARIMA",1,60,60,214.5,52.7369462116504,-161.76305378835
"ARIMA",16,60,45,214.5,45.9337837528113,-168.566216247189
"ARIMA",1,65,65,145.18,-6.51919323003243,-151.699193230032
"ARIMA",16,65,50,145.18,-8.089466707816,-153.269466707816
"ARIMA",31,65,35,145.18,20.1856368594224,-124.994363140578
"ARIMA",1,70,70,145.06,103.329162856625,-41.7308371433747
"ARIMA",16,70,55,145.06,95.6029203493445,-49.4570796506555
"ARIMA",31,70,40,145.06,121.959587554447,-23.100412445553
"ARIMA",1,75,75,134.86,109.04438664252,-25.8156133574805
"ARIMA",16,75,60,134.86,104.735649347209,-30.1243506527908
"ARIMA",31,75,45,134.86,130.436054556933,-4.42394544306651
"ARIMA",1,80,80,125.45,106.055509676638,-19.3944903233622
"ARIMA",16,80,65,125.45,100.606846469293,-24.8431535307073
"ARIMA",31,80,50,125.45,123.23531363824,-2.21468636176009
"ARIMA",46,80,35,125.45,154.532791876703,29.0827918767035
"ARIMA",1,85,85,279.12,108.97942045575,-170.14057954425
"ARIMA",16,85,70,279.12,105.3571128679,-173.7628871321
"ARIMA",31,85,55,279.12,127.308470169542,-151.811529830458
"ARIMA",46,85,40,279.12,156.367600248032,-122.752399751968
"ARIMA",1,90,90,288.93,113.769730684145,-175.160269315855
"ARIMA",16,90,75,288.93,111.035327224856,-177.894672775144
"ARIMA",31,90,60,288.93,131.232820003863,-157.697179996137
"ARIMA",46,90,45,288.93,157.576353566543,-131.353646433457
"ARIMA",1,95,95,262.91,113.274928624373,-149.635071375627
"ARIMA",16,95,80,262.91,111.483191123764,-151.426808876236
"ARIMA",31,95,65,262.91,131.716022533423,-131.193977466577
"ARIMA",46,95,50,262.91,156.422977352175,-106.487022647825
"ARIMA",61,95,35,262.91,182.33325236446,-80.5767476355396
"ARIMA",1,100,100,270.71,114.970043222401,-155.739956777599
"ARIMA",16,100,85,270.71,112.884649354312,-157.825350645688
"ARIMA",31,100,70,270.71,131.776874016413,-138.933125983588
"ARIMA",46,100,55,270.71,154.185862664961,-116.524137335039
"ARIMA",61,100,40,270.71,184.643665805971,-86.0663341940289
"ARIMA",1,105,105,254.2,112.882658205445,-141.317341794555
"ARIMA",16,105,90,254.2,111.204136470303,-142.995863529697
"ARIMA",31,105,75,254.2,128.778500814739,-125.421499185261
"ARIMA",46,105,60,254.2,148.466607105233,-105.733392894767
"ARIMA",61,105,45,254.2,178.027220703577,-76.1727792964232
"ARIMA",1,110,110,256.21,110.979143521657,-145.230856478343
"ARIMA",16,110,95,256.21,108.806589963386,-147.403410036614
"ARIMA",31,110,80,256.21,124.386427587501,-131.823572412499
"ARIMA",46,110,65,256.21,141.63442159298,-114.57557840702
"ARIMA",61,110,50,256.21,183.654610677524,-72.5553893224759
"ARIMA",76,110,35,256.21,117.200652147884,-139.009347852116
"ARIMA",1,115,115,104.05,155.972964934728,51.9229649347279
"ARIMA",16,115,100,104.05,165.235023255518,61.1850232555181
"ARIMA",31,115,85,104.05,183.674680380777,79.6246803807774
"ARIMA",46,115,70,104.05,79.5004742979253,-24.5495257020747
"ARIMA",61,115,55,104.05,81.047957964458,-23.0020420355419
"ARIMA",76,115,40,104.05,246.898613143377,142.848613143377
"ARIMA",1,120,120,130.89,152.895137941132,22.0051379411316
"ARIMA",16,120,105,130.89,155.550714581893,24.6607145818926
"ARIMA",31,120,90,130.89,176.709628424998,45.8196284249976
"ARIMA",46,120,75,130.89,202.833097317616,71.9430973176162
"ARIMA",61,120,60,130.89,164.208033770919,33.3180337709195
"ARIMA",76,120,45,130.89,222.319828776531,91.4298287765314
"ARIMA",1,125,125,198.34,152.163556701578,-46.1764432984225
"ARIMA",16,125,110,198.34,154.424247218334,-43.9157527816664
"ARIMA",31,125,95,198.34,174.187372198458,-24.1526278015421
"ARIMA",46,125,80,198.34,197.893138356194,-0.446861643806443
"ARIMA",61,125,65,198.34,191.705063233099,-6.63493676690132
"ARIMA",76,125,50,198.34,213.512097382888,15.1720973828879
"ARIMA",91,125,35,198.34,274.52249083057,76.1824908305697
"ARIMA",1,130,130,176.17,154.150255306638,-22.0197446933617
"ARIMA",16,130,115,176.17,156.473583914991,-19.6964160850094
"ARIMA",31,130,100,176.17,174.897755564165,-1.27224443583501
"ARIMA",46,130,85,176.17,196.873317600783,20.7033176007826
"ARIMA",61,130,70,176.17,208.390831264325,32.2208312643251
"ARIMA",76,130,55,176.17,207.730040549669,31.560040549669
"ARIMA",91,130,40,176.17,281.863965742152,105.693965742152
"ARIMA",1,135,135,169.51,146.090714353546,-23.4192856464535
"ARIMA",16,135,120,169.51,146.887604687324,-22.6223953126763
"ARIMA",31,135,105,169.51,163.902057895234,-5.60794210476635
"ARIMA",46,135,90,169.51,183.035280094856,13.5252800948556
"ARIMA",61,135,75,169.51,222.646167666871,53.1361676668713
"ARIMA",76,135,60,169.51,189.554211146763,20.044211146763
"ARIMA",91,135,45,169.51,272.34500793215,102.83500793215
"ARIMA",1,140,140,202.97,141.726881825468,-61.2431181745324
"ARIMA",16,140,125,202.97,142.644952562209,-60.3250474377908
"ARIMA",31,140,110,202.97,158.166803113352,-44.8031968866477
"ARIMA",46,140,95,202.97,175.653557066946,-27.3164429330538
"ARIMA",61,140,80,202.97,235.866773407459,32.8967734074588
"ARIMA",76,140,65,202.97,176.866884624599,-26.1031153754008
"ARIMA",91,140,50,202.97,199.684864861193,-3.28513513880745
"ARIMA",106,140,35,202.97,258.664159364737,55.6941593647367
"ARIMA",1,145,145,253.66,156.103097517381,-97.5569024826191
"ARIMA",16,145,130,253.66,157.229423143518,-96.4305768564823
"ARIMA",31,145,115,253.66,172.216922010075,-81.4430779899247
"ARIMA",46,145,100,253.66,189.262114010644,-64.3978859893562
"ARIMA",61,145,85,253.66,231.382246656329,-22.2777533436705
"ARIMA",76,145,70,253.66,191.839311324508,-61.8206886754917
"ARIMA",91,145,55,253.66,215.041928087998,-38.6180719120022
"ARIMA",106,145,40,253.66,248.689363494525,-4.97063650547523
"ARIMA",1,150,150,448.02,149.821187283135,-298.198812716865
"ARIMA",16,150,135,448.02,151.994960489542,-296.025039510458
"ARIMA",31,150,120,448.02,167.205067306354,-280.814932693646
"ARIMA",46,150,105,448.02,184.458140564113,-263.561859435887
"ARIMA",61,150,90,448.02,209.315781911892,-238.704218088108
"ARIMA",76,150,75,448.02,188.940609198772,-259.079390801228
"ARIMA",91,150,60,448.02,210.776969304103,-237.243030695897
"ARIMA",106,150,45,448.02,220.651643201949,-227.368356798051
"ARIMA",1,155,155,371.52,183.548855740717,-187.971144259283
"ARIMA",16,155,140,371.52,187.221358209471,-184.298641790529
"ARIMA",31,155,125,371.52,202.676754153224,-168.843245846776
"ARIMA",46,155,110,371.52,220.714736889609,-150.805263110391
"ARIMA",61,155,95,371.52,184.973395289671,-186.546604710329
"ARIMA",76,155,80,371.52,228.953382372006,-142.566617627994
"ARIMA",91,155,65,371.52,255.331629840365,-116.188370159635
"ARIMA",106,155,50,371.52,225.521248530613,-145.998751469387
"ARIMA",121,155,35,371.52,169.60371813139,-201.91628186861
"ARIMA",1,160,160,411.45,154.891281196092,-256.558718803908
"ARIMA",16,160,145,411.45,155.529341071588,-255.920658928412
"ARIMA",31,160,130,411.45,170.480156383435,-240.969843616565
"ARIMA",46,160,115,411.45,185.427758450245,-226.022241549755
"ARIMA",61,160,100,411.45,203.486230974245,-207.963769025755
"ARIMA",76,160,85,411.45,192.508174084595,-218.941825915405
"ARIMA",91,160,70,411.45,213.684245880843,-197.765754119157
"ARIMA",106,160,55,411.45,220.006444431641,-191.443555568359
"ARIMA",121,160,40,411.45,159.283909891047,-252.166090108953
"ARIMA",1,165,165,508.31,150.147877625272,-358.162122374728
"ARIMA",16,165,150,508.31,153.600265086907,-354.709734913093
"ARIMA",31,165,135,508.31,167.500176461361,-340.809823538639
"ARIMA",46,165,120,508.31,182.266734752183,-326.043265247817
"ARIMA",61,165,105,508.31,224.442693743518,-283.867306256482
"ARIMA",76,165,90,508.31,185.918484227193,-322.391515772807
"ARIMA",91,165,75,508.31,199.279271740815,-309.030728259185
"ARIMA",106,165,60,508.31,208.602048386813,-299.707951613187
"ARIMA",121,165,45,508.31,142.712086014148,-365.597913985852
"ARIMA",1,170,170,472.84,151.827937927321,-321.012062072679
"ARIMA",16,170,155,472.84,153.984185332919,-318.855814667081
"ARIMA",31,170,140,472.84,167.564694647671,-305.275305352329
"ARIMA",46,170,125,472.84,181.896561936952,-290.943438063048
"ARIMA",61,170,110,472.84,219.20068937011,-253.63931062989
"ARIMA",76,170,95,472.84,185.18709154906,-287.65290845094
"ARIMA",91,170,80,472.84,200.350943429964,-272.489056570036
"ARIMA",106,170,65,472.84,218.697040939625,-254.142959060375
"ARIMA",121,170,50,472.84,149.51348134126,-323.32651865874
"ARIMA",136,170,35,472.84,202.497964988826,-270.342035011174
"ARIMA",1,175,175,403.71,164.079955481785,-239.630044518215
"ARIMA",16,175,160,403.71,186.053796250553,-217.656203749447
"ARIMA",31,175,145,403.71,199.540864039877,-204.169135960123
"ARIMA",46,175,130,403.71,168.574792593872,-235.135207406128
"ARIMA",61,175,115,403.71,182.380053905812,-221.329946094188
"ARIMA",76,175,100,403.71,219.600951300323,-184.109048699677
"ARIMA",91,175,85,403.71,196.71335115662,-206.996648843379
"ARIMA",106,175,70,403.71,194.221058630079,-209.488941369921
"ARIMA",121,175,55,403.71,180.019119298199,-223.690880701801
"ARIMA",136,175,40,403.71,177.812040092463,-225.897959907537
"ARIMA",1,180,180,156.02,147.748003346409,-8.27199665359072
"ARIMA",16,180,165,156.02,205.306230706746,49.2862307067458
"ARIMA",31,180,150,156.02,223.168604168745,67.1486041687446
"ARIMA",46,180,135,156.02,243.359192530651,87.3391925306508
"ARIMA",61,180,120,156.02,61.511756018862,-94.508243981138
"ARIMA",76,180,105,156.02,261.409016520904,105.389016520904
"ARIMA",91,180,90,156.02,101.531342857414,-54.4886571425862
"ARIMA",106,180,75,156.02,126.30693009924,-29.7130699007596
"ARIMA",121,180,60,156.02,289.479420218031,133.459420218031
"ARIMA",136,180,45,156.02,203.388010429842,47.3680104298418
"ARIMA",1,185,185,164.29,184.576664437362,20.2866644373624
"ARIMA",16,185,170,164.29,196.631706666017,32.3417066660166
"ARIMA",31,185,155,164.29,213.220707182633,48.9307071826327
"ARIMA",46,185,140,164.29,230.31466399508,66.0246639950801
"ARIMA",61,185,125,164.29,123.774910269312,-40.5150897306882
"ARIMA",76,185,110,164.29,245.094763409654,80.8047634096544
"ARIMA",91,185,95,164.29,163.056955337245,-1.23304466275525
"ARIMA",106,185,80,164.29,186.287546029019,21.9975460290185
"ARIMA",121,185,65,164.29,262.051027258504,97.7610272585039
"ARIMA",136,185,50,164.29,269.362702520181,105.072702520181
"ARIMA",151,185,35,164.29,369.193075872716,204.903075872716
"ARIMA",1,190,190,136.86,223.302180501838,86.4421805018381
"ARIMA",16,190,175,136.86,205.479060410726,68.619060410726
"ARIMA",31,190,160,136.86,231.76397086086,94.9039708608602
"ARIMA",46,190,145,136.86,259.580934848514,122.720934848514
"ARIMA",61,190,130,136.86,153.210248618404,16.3502486184035
"ARIMA",76,190,115,136.86,265.786705879314,128.926705879314
"ARIMA",91,190,100,136.86,192.286267513449,55.4262675134486
"ARIMA",106,190,85,136.86,216.879283665039,80.0192836650388
"ARIMA",121,190,70,136.86,279.021602587377,142.161602587377
"ARIMA",136,190,55,136.86,302.353618050631,165.493618050631
"ARIMA",151,190,40,136.86,379.86776378982,243.00776378982
"ARIMA",1,195,195,77.38,196.056394601995,118.676394601995
"ARIMA",16,195,180,77.38,209.129725933528,131.749725933528
"ARIMA",31,195,165,77.38,226.024839341209,148.644839341209
"ARIMA",46,195,150,77.38,122.285144393687,44.9051443936869
"ARIMA",61,195,135,77.38,144.927287711367,67.5472877113666
"ARIMA",76,195,120,77.38,154.393505875273,77.0135058752734
"ARIMA",91,195,105,77.38,183.684430622205,106.304430622205
"ARIMA",106,195,90,77.38,210.578957885342,133.198957885342
"ARIMA",121,195,75,77.38,274.458102693711,197.078102693711
"ARIMA",136,195,60,77.38,302.688880569621,225.308880569621
"ARIMA",151,195,45,77.38,398.608751184821,321.228751184821
"ARIMA",1,200,200,105.56,202.070541936857,96.5105419368569
"ARIMA",16,200,185,105.56,203.483330435153,97.9233304351533
"ARIMA",31,200,170,105.56,219.399124639987,113.839124639987
"ARIMA",46,200,155,105.56,153.468217332762,47.9082173327625
"ARIMA",61,200,140,105.56,179.225660045418,73.6656600454178
"ARIMA",76,200,125,105.56,250.700595962651,145.140595962651
"ARIMA",91,200,110,105.56,221.362538428924,115.802538428924
"ARIMA",106,200,95,105.56,247.244514326208,141.684514326208
